"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
-1.173796012E1,1.230949910E1,7.664448590E1,7.648846221E2,6.768000488E2,0.000000000E0,0.000000000E0,2.485639889E-2,1.054369965E2,1.659490395E1,0.000000000E0
4.552046561E0,1.230939254E1,7.664428477E1,7.570663078E2,6.689813232E2,0.000000000E0,0.000000000E0,3.030196415E-2,1.348805237E1,2.294788933E1,0.000000000E0
5.544740259E0,1.230935718E1,7.664431945E1,7.480543759E2,6.599692383E2,0.000000000E0,0.000000000E0,3.771838781E-2,8.987027168E0,1.592343616E1,1.000000000E1
6.542876144E0,1.230940847E1,7.664427581E1,7.736403366E2,6.855554199E2,0.000000000E0,0.000000000E0,4.449305821E-2,9.584540367E0,1.629801750E1,1.300000000E1
7.560984633E0,1.230943644E1,7.664422041E1,7.627293223E2,6.746445312E2,0.000000000E0,0.000000000E0,4.720106647E-2,1.086560726E1,1.824789238E1,1.600000000E1
8.537367862E0,1.230945203E1,7.664420126E1,7.676125549E2,6.795278320E2,5.699999928E-1,3.136000061E2,5.425409626E-2,1.256882572E1,2.009028435E1,1.600000000E1
9.542744267E0,1.230950793E1,7.664417058E1,7.665804566E2,6.784959717E2,6.000000238E-1,3.136000061E2,5.501191474E-2,1.049174881E1,1.471528625E1,1.700000000E1
1.040803359E1,1.230950191E1,7.664416731E1,7.606345583E2,6.725500488E2,0.000000000E0,0.000000000E0,5.736413169E-2,4.525188923E0,5.689008236E0,1.700000000E1
1.140901984E1,1.230949309E1,7.664418699E1,7.628081823E2,6.747236328E2,0.000000000E0,0.000000000E0,5.837643562E-2,3.971894026E0,4.572575092E0,1.800000000E1
1.240974552E1,1.230948415E1,7.664418875E1,7.630185470E2,6.749339600E2,0.000000000E0,0.000000000E0,5.992904741E-2,5.153353214E0,7.281937122E0,1.800000000E1
1.340997421E1,1.230947156E1,7.664418257E1,7.632251414E2,6.751405029E2,0.000000000E0,0.000000000E0,6.015537589E-2,4.540570259E0,6.438156128E0,2.100000000E1
1.441384390E1,1.230946965E1,7.664418329E1,7.646007598E2,6.765161133E2,0.000000000E0,0.000000000E0,6.136763884E-2,4.052530289E0,5.442308426E0,2.300000000E1
1.540292812E1,1.230946149E1,7.664419069E1,7.660114396E2,6.779267578E2,0.000000000E0,0.000000000E0,6.176863472E-2,3.836627483E0,5.028637886E0,2.700000000E1
1.640334505E1,1.230945894E1,7.664418808E1,7.653083248E2,6.772236328E2,0.000000000E0,0.000000000E0,6.221942448E-2,3.851652384E0,5.139178753E0,2.800000000E1
1.740960734E1,1.230945605E1,7.664418517E1,7.668173695E2,6.787326660E2,0.000000000E0,0.000000000E0,6.294957558E-2,3.790092468E0,4.856348991E0,2.700000000E1
1.841474140E1,1.230945205E1,7.664419050E1,7.677540326E2,6.796693115E2,0.000000000E0,0.000000000E0,6.354187784E-2,3.790092468E0,4.301414490E0,2.400000000E1
1.941404286E1,1.230944697E1,7.664418886E1,7.678695320E2,6.797847900E2,0.000000000E0,0.000000000E0,6.436739164E-2,3.790092468E0,4.024092197E0,2.500000000E1
2.040491812E1,1.230943963E1,7.664418772E1,7.690867255E2,6.810019531E2,0.000000000E0,0.000000000E0,6.476195774E-2,3.790092468E0,3.685963392E0,2.600000000E1
2.140494551E1,1.230944275E1,7.664418599E1,7.686689876E2,6.805842285E2,0.000000000E0,0.000000000E0,6.536050238E-2,3.790092468E0,3.464292288E0,2.700000000E1
2.241281322E1,1.230943821E1,7.664418303E1,7.682825314E2,6.801977539E2,0.000000000E0,0.000000000E0,6.579898619E-2,3.790092468E0,3.473644733E0,2.800000000E1
2.341367358E1,1.230944180E1,7.664418136E1,7.681328580E2,6.800480957E2,0.000000000E0,0.000000000E0,6.637285418E-2,3.790092468E0,3.338532448E0,2.900000000E1
2.440626004E1,1.230944477E1,7.664418568E1,7.676228366E2,6.795380859E2,0.000000000E0,0.000000000E0,6.677558983E-2,3.790092468E0,3.255584002E0,3.100000000E1
2.540424020E1,1.230944301E1,7.664418892E1,7.681404226E2,6.800556641E2,0.000000000E0,0.000000000E0,6.751665864E-2,3.790092468E0,3.256845474E0,3.100000000E1
2.640149916E1,1.230944166E1,7.664419560E1,7.688057125E2,6.807209473E2,0.000000000E0,0.000000000E0,6.780850067E-2,3.790092468E0,3.201142311E0,3.000000000E1
2.740244890E1,1.230943942E1,7.664419700E1,7.679732025E2,6.798884277E2,0.000000000E0,0.000000000E0,6.832536944E-2,3.790092468E0,3.245632410E0,2.900000000E1
2.840151530E1,1.230944330E1,7.664419962E1,7.679730647E2,6.798883057E2,0.000000000E0,0.000000000E0,6.858998354E-2,3.790092468E0,3.219539165E0,2.900000000E1
2.940219561E1,1.230944357E1,7.664420204E1,7.677424731E2,6.796577148E2,0.000000000E0,0.000000000E0,6.900701739E-2,3.790092468E0,3.114834785E0,2.800000000E1
