"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.790001500E-2,1.231475870E1,7.664433960E1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,1.000000000E3,0.000000000E0,0.000000000E0
5.051900015E0,1.231475870E1,7.664433960E1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,1.000000000E3,0.000000000E0,0.000000000E0
1.009290002E1,1.231475870E1,7.664433960E1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,1.000000000E3,0.000000000E0,0.000000000E0
1.510690002E1,1.231475870E1,7.664433960E1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,1.594404268E-1,1.000000000E3,0.000000000E0,0.000000000E0
1.550898010E1,1.231602092E1,7.664503593E1,7.289623828E2,6.409049072E2,0.000000000E0,0.000000000E0,1.629270594E-1,3.057320786E1,3.713594437E1,0.000000000E0
1.650996822E1,1.231604999E1,7.664504796E1,7.220522293E2,6.339948730E2,0.000000000E0,0.000000000E0,1.677843711E-1,2.541950607E1,3.060298729E1,9.000000000E0
1.751534734E1,1.231601680E1,7.664507703E1,7.171536906E2,6.290961914E2,0.000000000E0,0.000000000E0,1.707970384E-1,2.509830475E1,3.075840759E1,9.000000000E0
1.851220192E1,1.231599923E1,7.664509814E1,7.116293531E2,6.235717773E2,0.000000000E0,0.000000000E0,1.760564461E-1,2.572653389E1,2.903524590E1,8.000000000E0
1.951256478E1,1.231596281E1,7.664512903E1,7.018350762E2,6.137773438E2,0.000000000E0,0.000000000E0,1.826387838E-1,2.465292740E1,2.826054573E1,8.000000000E0
2.050575093E1,1.231601336E1,7.664509750E1,7.065899874E2,6.185324707E2,0.000000000E0,0.000000000E0,1.840104425E-1,1.810422325E1,2.392731285E1,7.000000000E0
2.151464999E1,1.231602324E1,7.664508994E1,7.129628699E2,6.249053955E2,0.000000000E0,0.000000000E0,1.882456656E-1,1.634174728E1,2.269808578E1,9.000000000E0
2.251579827E1,1.231605826E1,7.664507461E1,7.183563982E2,6.302990723E2,0.000000000E0,0.000000000E0,2.013008316E-1,1.480910873E1,2.074089622E1,1.000000000E1
2.351484322E1,1.231617344E1,7.664509791E1,7.302633924E2,6.422065430E2,3.380000114E0,2.350000000E1,2.067750744E-1,1.237841320E1,1.795520973E1,1.000000000E1
